Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,0.7416893,2.1240819,5.467001,0.071070835,0.00029991014,4999.0,-281.0,-281.0,1.0
30000,0.17587449,2.1427262,1.9489105,0.06315307,0.0002998493,None,-295.0,-295.0,1.0
40000,-0.3830112,2.1355524,3.6014972,0.06373359,0.0002997871,4999.0,-208.33333333333334,-208.33333333333334,1.0
50000,-0.9557047,2.12631,32.29125,0.06880912,0.00029973313,None,-75.0,-75.0,1.0
60000,-0.9364192,2.1424851,3.2945836,0.07011384,0.0002996709,4999.0,-174.66666666666666,-174.66666666666666,1.0
70000,-0.9862702,2.1303475,1.2127032,0.06858542,0.00029961005,None,-103.0,-103.0,1.0
80000,-1.263732,2.1583035,2.786204,0.061238565,0.00029954786,4999.0,-157.66666666666666,-157.66666666666666,1.0
90000,-1.3267428,2.1592317,27.805742,0.06854237,0.00029948697,None,-18.0,-18.0,1.0
100000,-1.5645506,2.1734982,4.4419594,0.064945966,0.00029943167,4999.0,-162.0,-162.0,1.0
110000,-1.2292943,2.1739824,3.316096,0.07018355,0.00029937082,None,-43.0,-43.0,1.0
120000,-1.3918895,2.1730592,3.808027,0.06275107,0.00029930862,4999.0,-175.66666666666666,-175.66666666666666,1.0
130000,-1.408004,2.1698422,5.066119,0.06565726,0.00029924777,None,-63.0,-63.0,1.0
140000,-1.6414814,2.1350605,1.9000087,0.06450558,0.00029918554,4999.0,-184.0,-184.0,1.0
150000,-1.7655559,2.1289475,1.8795547,0.073599726,0.0002991316,None,-63.0,-63.0,1.0
160000,-1.8723063,2.1190124,2.6943703,0.071694136,0.00029906936,4999.0,-130.66666666666666,-130.66666666666666,1.0
170000,-1.5172542,2.1113422,3.5440595,0.069978155,0.00029900856,None,-65.0,-65.0,1.0
180000,-1.5322354,2.1016827,2.0653567,0.06546888,0.0002989532,4999.0,-101.0,-101.0,1.0
190000,-1.9100403,2.0760696,3.910535,0.071669206,0.00029889238,None,-87.0,-87.0,1.0
200000,-2.3380344,2.091456,3.5356228,0.07074796,0.00029883016,4999.0,-192.66666666666666,-192.66666666666666,1.0
210000,-2.5780816,2.0684955,2.5123575,0.07005278,0.0002987693,None,-310.0,-310.0,1.0
