Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,36.515156,0.32410848,718.4922,0.07377517,0.00029973264,3999.0,1514.465250119567,1514.465250119567,1.0
60000,21.29125,0.33060703,114.44263,0.07529513,0.00029966843,None,None,None,1.0
70000,30.1242,0.2539987,8191.3726,0.07310345,0.00029961142,None,None,None,1.0
80000,19.80361,0.2507406,2567.3076,0.06886784,0.00029955438,None,None,None,1.0
90000,23.87259,0.16206644,5892.571,0.07272796,0.00029949058,3999.0,2783.891691901467,2783.891691901467,1.0
100000,32.814453,0.34371522,122.56742,0.06560446,0.00029942556,None,None,None,1.0
110000,33.445168,0.32093835,9459.848,0.06077747,0.00029936855,None,None,None,1.0
120000,25.285748,0.24665807,148.08871,0.069414504,0.0002993115,None,None,None,1.0
130000,27.601543,0.20971428,6207.0957,0.06929272,0.00029924815,None,None,None,1.0
140000,31.848644,0.18985984,125.77075,0.06953555,0.00029918956,3999.0,3574.00315284729,3574.00315284729,1.0
150000,24.695688,0.2790171,969.4738,0.07103318,0.00029913196,None,None,None,1.0
160000,32.20151,0.20393322,7616.975,0.06266412,0.00029906863,None,None,None,1.0
170000,21.255434,0.27461576,9290.667,0.059693754,0.00029901162,None,None,None,1.0
180000,22.78887,0.21890298,134.0738,0.07116249,0.0002989537,3999.0,3876.2045432871037,3876.2045432871037,1.0
190000,27.419657,0.24238971,126.8136,0.06342791,0.0002988891,None,None,None,1.0
200000,28.405436,0.30193135,6968.7783,0.06476843,0.00029882573,None,None,None,1.0
210000,16.4273,0.16275156,136.2382,0.06615833,0.00029876872,None,None,None,1.0
220000,24.375051,0.26658642,6888.579,0.067788094,0.0002987117,3999.0,3507.0367892742156,3507.0367892742156,1.0
230000,31.377506,0.2746383,137.03818,0.06809511,0.00029864622,None,4761.45534658432,4761.45534658432,1.0
240000,24.111183,0.29826578,9979.744,0.06605778,0.00029858918,None,None,None,1.0
250000,31.873344,0.27834952,129.80148,0.068536155,0.00029853216,None,None,None,1.0
