Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,0.98875934,7.05226,76.75413,0.06888973,0.00029967033,4999.0,740.9261505508965,740.9261505508965,1.0
70000,1.0393524,12.85576,217.45894,0.0703628,0.00029960665,None,None,None,1.0
80000,1.1230853,3.2555518,30.901943,0.071856566,0.0002995496,None,None,None,1.0
90000,1.203762,2.2618065,28.95962,0.06753142,0.00029949262,None,None,None,1.0
100000,1.5428915,0.31695852,2.496059,0.06807004,0.00029942926,None,None,None,1.0
110000,1.3327837,-1.7729123,3.5300727,0.06652885,0.0002993659,4999.0,900.8214284226299,900.8214284226299,1.0
120000,0.6689916,18.383478,376.49457,0.0606402,0.00029930833,None,-846.2143561840057,-846.2143561840057,1.0
130000,1.5747828,0.13835323,63.739643,0.0631042,0.00029925132,None,None,None,1.0
140000,1.6237608,-0.3421781,5.9842477,0.06686704,0.00029918793,None,None,None,1.0
150000,1.377785,-0.39723054,1062.5273,0.066695794,0.00029913094,None,None,None,1.0
160000,1.1791342,1.3140651,6206.5493,0.060688734,0.0002990739,None,None,None,1.0
170000,0.7107558,9.331374,165.18848,0.06531142,0.00029901034,4999.0,1923.5410922901196,1923.5410922901196,1.0
180000,1.0179821,10.525473,342.8915,0.06736006,0.00029894663,None,None,None,1.0
190000,1.2831367,2.0465312,19.891504,0.06285119,0.00029888964,None,None,None,1.0
200000,1.2710052,0.8644996,4.524253,0.063903555,0.0002988326,None,None,None,1.0
210000,1.1597687,0.7436918,848.0324,0.06536522,0.00029876924,None,None,None,1.0
220000,1.2188233,0.59737074,2650.6042,0.067179464,0.00029870588,4999.0,891.4491671591998,891.4491671591998,1.0
230000,0.59596264,21.340252,358.3783,0.067212,0.00029864832,None,989.7869738340378,989.7869738340378,1.0
240000,1.0847523,3.461458,1133.9219,0.07085009,0.00029859133,None,None,None,1.0
250000,1.019839,1.9570882,5961.2275,0.06514243,0.00029852794,None,None,None,1.0
260000,0.78371716,1.6982019,0.444345,0.07437478,0.0002984709,None,None,None,1.0
270000,0.7613042,1.7264968,0.7208238,0.06362934,0.0002984139,None,None,None,1.0
280000,0.69442236,6.5342417,92.993675,0.06560618,0.00029835032,4999.0,1699.866868659854,1699.866868659854,1.0
290000,0.73359454,23.260561,260.17834,0.06949381,0.00029828664,None,None,None,1.0
300000,1.0349692,2.1577728,21.854397,0.0698912,0.00029822966,None,None,None,1.0
310000,1.0370016,2.10216,2356.2156,0.074642405,0.0002981726,None,None,None,1.0
320000,0.8017412,1.8566465,1914.6403,0.06939606,0.00029810925,None,None,None,1.0
330000,0.72522944,1.9564625,2402.932,0.06468906,0.0002980459,4999.0,1685.8208092063664,1685.8208092063664,1.0
340000,0.5247391,22.760778,347.91403,0.07751281,0.00029798833,None,1819.3042305409908,1819.3042305409908,1.0
350000,0.6655936,10.429799,928.42285,0.07380827,0.0002979313,None,None,None,1.0
360000,0.7374357,7.281211,5203.615,0.07122853,0.00029786795,None,None,None,1.0
370000,0.79422057,4.7789664,1238.7722,0.07300655,0.00029781094,None,None,None,1.0
380000,0.9728302,4.8460636,915.10516,0.06637191,0.0002977539,None,None,None,1.0
390000,0.81563556,6.3484526,967.42957,0.06929372,0.00029769033,4999.0,1180.7936221848834,1180.7936221848834,1.0
400000,0.5034984,21.676905,339.77753,0.06721257,0.00029762666,None,None,None,1.0
410000,0.48024443,9.942332,2309.5051,0.0642554,0.0002975696,None,None,None,1.0
420000,0.881013,5.8571153,4170.606,0.06823592,0.0002975126,None,None,None,1.0
430000,0.9865766,4.8704724,1818.9626,0.06433932,0.00029744924,None,None,None,1.0
440000,0.79587096,4.9809628,16.574154,0.07195155,0.00029738588,4999.0,51.46265820860863,51.46265820860863,1.0
450000,0.6024507,10.040016,367.6706,0.06217839,0.0002973283,None,66.93872010707855,66.93872010707855,1.0
460000,0.7092683,5.388709,1696.1547,0.07226015,0.0002972713,None,None,None,1.0
470000,0.80167675,4.5828543,3280.457,0.06941657,0.00029720794,None,None,None,1.0
480000,0.5964802,4.917767,2.0738614,0.06772572,0.00029715092,None,None,None,1.0
490000,0.48770508,4.148821,1.3964623,0.07198237,0.0002970939,None,None,None,1.0
500000,0.610587,0.41963664,24.954166,0.06349715,0.00029703035,4999.0,687.8340318961577,687.8340318961577,1.0
510000,0.861192,-6.6400003,299.49606,0.06788324,0.00029696664,None,None,None,1.0
520000,0.75705206,-2.900927,164.99467,0.06444121,0.00029690965,None,None,None,1.0
530000,0.8073962,-4.136184,43.088745,0.070843115,0.0002968526,None,None,None,1.0
540000,0.82212883,-3.933069,25.160383,0.0744749,0.00029678922,None,None,None,1.0
550000,0.85101444,-2.7453413,878.62726,0.07192065,0.0002967259,4999.0,-144.3458363927901,-144.3458363927901,1.0
560000,0.7818383,2.2961378,9.147398,0.06791116,0.00029666832,None,207.16233893483877,207.16233893483877,1.0
570000,0.83927166,0.49777785,54.974865,0.06247859,0.0002966113,None,None,None,1.0
580000,0.79976165,6.903816,2494.9448,0.06876633,0.00029654795,None,None,None,1.0
590000,0.90731335,0.3168157,6530.31,0.057334445,0.0002964909,None,None,None,1.0
600000,0.91499704,1.5620338,624.53796,0.063109584,0.00029643392,None,None,None,1.0
610000,0.87188506,1.5170932,1036.4097,0.06750508,0.0002963703,4999.0,-942.9160578162832,-942.9160578162832,1.0
620000,0.79554534,14.242305,270.81476,0.067571834,0.00029630665,None,None,None,1.0
630000,0.79362065,6.0604115,8896.355,0.070279524,0.00029624964,None,None,None,1.0
640000,0.8789173,10.93252,223.08643,0.06851296,0.00029619262,None,None,None,1.0
650000,0.92422605,6.5378995,2453.8972,0.06203171,0.00029612923,None,None,None,1.0
660000,1.0428994,3.5699115,139.94034,0.06510983,0.0002960659,4999.0,1386.776068598777,1386.776068598777,1.0
670000,1.0574863,1.8113216,568.7252,0.06426329,0.00029600834,None,3717.4778658747673,3717.4778658747673,1.0
