Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,-0.532361,2.1585865,4.1122293,0.064490944,0.00029967033,4999.0,-223.8146932003173,-223.8146932003173,1.0
70000,-0.34579247,2.140934,0.0054344805,0.06471561,0.00029960665,None,None,None,1.0
80000,-0.7789438,2.172875,82.32043,0.066749156,0.0002995496,None,None,None,1.0
90000,-0.89747775,2.1644864,11.286155,0.06870152,0.00029949262,None,None,None,1.0
100000,-0.47707018,2.1428506,0.0076418943,0.0709917,0.00029942926,None,None,None,1.0
110000,-0.27414113,2.0820558,14.493733,0.07013495,0.0002993659,4999.0,-121.63712291941047,-121.63712291941047,1.0
120000,0.04680144,1.9814191,17.17208,0.06827876,0.00029930833,None,-232.01505867391825,-232.01505867391825,1.0
130000,0.19752519,1.7200102,62.070915,0.07056076,0.00029925132,None,None,None,1.0
140000,0.2253426,1.932353,46.615967,0.074089184,0.00029918793,None,None,None,1.0
150000,1.4328299,2.0173903,29.451134,0.070614435,0.00029913094,None,None,None,1.0
160000,1.459227,2.0284505,48.920372,0.07205103,0.0002990739,None,None,None,1.0
170000,-1.2450445,1.4902593,134.58224,0.06874446,0.00029901034,4999.0,-315.680196760053,-315.680196760053,1.0
180000,-0.8279561,1.7124462,98.34813,0.0729469,0.00029894663,None,None,None,1.0
190000,-1.821467,1.7216353,201.51764,0.07287982,0.00029888964,None,None,None,1.0
200000,-2.8420904,1.9553654,130.2774,0.07005858,0.0002988326,None,None,None,1.0
210000,-2.6433265,2.051512,63.70449,0.06807664,0.00029876924,None,None,None,1.0
220000,-2.5357666,2.0727007,47.599506,0.06720574,0.00029870588,4999.0,-943.0938590936363,-943.0938590936363,1.0
230000,-0.78600645,2.0800664,0.024667703,0.06792789,0.00029864832,None,-1230.2838973551989,-1230.2838973551989,1.0
240000,-0.3119741,2.0355632,0.019262383,0.07323886,0.00029859133,None,None,None,1.0
250000,-0.2732101,2.056232,0.025130952,0.06958999,0.00029852794,None,None,None,1.0
260000,-0.28544828,2.0675025,0.03817087,0.06786062,0.0002984709,None,None,None,1.0
270000,-0.26748332,2.0953014,0.021195931,0.06649913,0.0002984139,None,None,None,1.0
280000,-0.36044484,2.039441,0.020646969,0.07165983,0.00029835032,4999.0,-11.138598726554351,-11.138598726554351,1.0
