Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1837063,0.13571279,8.277122e-05,0.06135083,0.0002999685,4999.0,0.0,0.0,1.0
20000,2.1366813,-0.36012226,5.4838853,0.06938085,0.00029991212,4999.0,-165.0,-165.0,1.0
30000,2.0231385,-1.1916773,2.5494914,0.07329403,0.0002998495,4999.0,-215.0,-215.0,1.0
40000,1.5306208,-3.7608194,2.5024734,0.06777515,0.00029978677,4999.0,-52.5,-52.5,1.0
50000,1.3896887,-2.955451,5.676515,0.06966492,0.00029973043,4999.0,8.5,8.5,1.0
60000,1.0531381,-2.5409596,17.71704,0.06846694,0.00029967402,4999.0,87.5,87.5,1.0
70000,1.071168,-1.6462669,9.859024,0.06748936,0.00029961136,4999.0,138.0,138.0,1.0
80000,0.96149594,-0.7155448,20.340185,0.07026805,0.0002995487,4999.0,146.0,146.0,1.0
90000,0.79933095,-0.37177852,27.179241,0.06612239,0.00029948604,4999.0,196.5,196.5,1.0
100000,0.55903447,-0.08681531,48.47683,0.06805527,0.00029942967,4999.0,224.0,224.0,1.0
110000,0.5040009,-0.026005812,46.9,0.06617669,0.0002993733,4999.0,270.0,270.0,1.0
120000,0.5348307,0.66985244,39.949352,0.058793914,0.00029931057,4999.0,270.0,270.0,1.0
130000,0.5258128,0.3476418,62.265606,0.06337471,0.00029924797,4999.0,295.0,295.0,1.0
140000,0.60404104,-0.41820657,53.70179,0.0708952,0.00029918525,4999.0,320.0,320.0,1.0
150000,0.6253708,0.3733745,63.594913,0.062246777,0.00029912888,4999.0,320.0,320.0,1.0
160000,0.69716525,0.45879185,40.603485,0.07022885,0.0002990725,4999.0,320.0,320.0,1.0
170000,0.85187876,1.5247846,22.190792,0.06857948,0.0002990099,4999.0,286.5,286.5,1.0
180000,0.888472,1.7906073,8.606615,0.07689115,0.00029894718,4999.0,88.0,88.0,1.0
190000,0.9186267,1.1976534,9.30974,0.067103915,0.00029889084,4999.0,107.0,107.0,1.0
200000,0.8855457,1.492386,14.795482,0.068129465,0.0002988344,4999.0,108.5,108.5,1.0
210000,0.9091632,-0.7250245,41.235382,0.06912999,0.00029877172,4999.0,253.0,253.0,1.0
220000,0.9365028,-0.14838062,39.87659,0.07516391,0.0002987091,4999.0,295.0,295.0,1.0
230000,0.9012465,0.92434627,32.79188,0.071588024,0.00029864645,4999.0,223.0,223.0,1.0
240000,0.82522196,1.1595548,41.987762,0.06488912,0.00029859002,4999.0,230.0,230.0,1.0
250000,0.81525713,1.4690887,29.271124,0.067637324,0.00029853365,4999.0,215.5,215.5,1.0
260000,0.93048155,0.6626809,40.151196,0.06888976,0.00029847096,4999.0,267.0,267.0,1.0
