Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,1.9967598,-13.330716,160.21782,0.069577545,0.00029967033,4999.0,-2262.7565817677164,-2262.7565817677164,1.0
70000,1.5538235,-22.883698,688.51263,0.07039169,0.00029960665,None,None,None,1.0
80000,1.4836779,-33.195293,108.97989,0.06263211,0.0002995496,None,None,None,1.0
90000,1.3515577,-37.50614,287.57797,0.07297979,0.00029949262,None,None,None,1.0
100000,1.598956,-29.642223,342.66556,0.06541864,0.00029942926,None,None,None,1.0
110000,1.8114532,-24.969347,48.451096,0.066189386,0.0002993659,4999.0,-2690.6730412997304,-2690.6730412997304,1.0
120000,1.7259574,-30.294506,770.0134,0.065347716,0.00029930833,None,-2463.9501965641975,-2463.9501965641975,1.0
130000,1.5489281,-47.199802,202.56499,0.06535166,0.00029925132,None,None,None,1.0
140000,1.8389316,-43.492313,177.02982,0.06925178,0.00029918793,None,None,None,1.0
150000,1.8662714,-30.156557,35.620773,0.06467938,0.00029913094,None,None,None,1.0
160000,1.9168283,-28.658308,26.820354,0.06464456,0.0002990739,None,None,None,1.0
170000,1.9091407,-22.401323,235.3772,0.06879238,0.00029901034,4999.0,-994.4769095927477,-994.4769095927477,1.0
180000,2.098034,-28.27102,38.79524,0.06630159,0.00029894663,None,None,None,1.0
190000,1.9870455,-23.531124,12.34215,0.06285234,0.00029888964,None,None,None,1.0
200000,2.0638294,-13.632614,6.3086214,0.07051669,0.0002988326,None,None,None,1.0
210000,2.114486,-8.738826,8.478934,0.06506952,0.00029876924,None,None,None,1.0
220000,2.0883424,-8.136056,19.214874,0.06797391,0.00029870588,4999.0,-145.71274439394475,-145.71274439394475,1.0
230000,2.1080523,-4.8228855,204.43993,0.07334088,0.00029864832,None,206.1937905997038,206.1937905997038,1.0
240000,2.0232036,-11.495045,101.8817,0.06862569,0.00029859133,None,None,None,1.0
250000,1.1788087,-32.384468,659.3128,0.075968154,0.00029852794,None,None,None,1.0
